Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
SDC1	2p24.1	0.59	1.49	0.40	1.05	-0.90	8.72e-14	1.70e-9	(B) FLT3 non mutation
LGALS3BP	17q25	6.21	4.08	1.38	2.07	2.14	1.43e-12	1.39e-8	(A) FLT3 mutation
AMPD1	1p13.2	0.21	0.75	0.26	0.69	-0.54	4.33e-12	2.81e-8	(B) FLT3 non mutation
ADAM6	14q32.33	3.97	5.50	1.09	1.64	-1.53	6.67e-11	2.28e-7	(B) FLT3 non mutation
HID1	17q25.1	0.32	0.81	0.27	0.65	-0.48	7.97e-11	2.28e-7	(B) FLT3 non mutation
SCNN1B	16p12.2-p12.1	0.08	0.28	0.09	0.28	-0.20	8.83e-11	2.28e-7	(B) FLT3 non mutation
ITGA8	10p13	0.09	0.35	0.12	0.38	-0.27	9.33e-11	2.28e-7	(B) FLT3 non mutation
BHLHA15	7q21.3	0.43	0.86	0.23	0.59	-0.43	9.35e-11	2.28e-7	(B) FLT3 non mutation
APOE	19q13.32	1.30	2.55	0.90	1.51	-1.25	5.45e-10	1.180e-6	(B) FLT3 non mutation
NUGGC	8p21.1	0.28	0.61	0.22	0.46	-0.33	9.53e-10	1.794e-6	(B) FLT3 non mutation
BRME1	19p13.12	0.67	1.25	0.44	0.67	-0.57	1.01e-9	1.794e-6	(B) FLT3 non mutation
LTBP2	14q24.3	0.43	0.84	0.27	0.56	-0.41	1.13e-9	1.837e-6	(B) FLT3 non mutation
S100A1	1q21.3	2.86	1.83	0.93	0.74	1.03	1.94e-9	2.714e-6	(A) FLT3 mutation
DPF3	14q24.2	0.14	0.40	0.14	0.41	-0.26	2.13e-9	2.714e-6	(B) FLT3 non mutation
TIAM1	21q22.11	0.52	1.15	0.37	0.95	-0.63	2.14e-9	2.714e-6	(B) FLT3 non mutation
MOXD1	6q23.2	0.11	0.29	0.10	0.27	-0.18	2.24e-9	2.714e-6	(B) FLT3 non mutation
RAB30	11q14.1	0.50	0.95	0.35	0.56	-0.45	2.37e-9	2.714e-6	(B) FLT3 non mutation
ANKRD36BP2	2p11.2	0.46	1.06	0.42	0.83	-0.61	2.56e-9	2.739e-6	(B) FLT3 non mutation
HARS2	5q31.3	3.76	3.45	0.24	0.36	0.31	2.81e-9	2.739e-6	(A) FLT3 mutation
PIMREG	17p13.2	0.55	1.41	0.75	0.83	-0.86	2.81e-9	2.739e-6	(B) FLT3 non mutation
CPNE5	6p21.2	0.96	1.54	0.46	0.72	-0.58	3.04e-9	2.823e-6	(B) FLT3 non mutation
ANGPTL4	19p13.2	0.78	1.15	0.29	0.46	-0.37	3.77e-9	3.338e-6	(B) FLT3 non mutation
C1QTNF1	17q25.3	0.10	0.39	0.15	0.47	-0.29	4.36e-9	3.613e-6	(B) FLT3 non mutation
CXCL12	10q11.21	1.30	3.18	1.56	2.15	-1.88	4.45e-9	3.613e-6	(B) FLT3 non mutation
FCRL5	1q23.1	0.77	1.40	0.47	0.84	-0.63	4.78e-9	3.728e-6	(B) FLT3 non mutation
RAMP2-AS1	17q21.2	0.02	0.06	0.03	0.07	-0.04	5.19e-9	3.815e-6	(B) FLT3 non mutation
MCF2L	13q34	0.34	0.87	0.41	0.68	-0.53	5.28e-9	3.815e-6	(B) FLT3 non mutation
PCYOX1L	5q32	4.04	3.52	0.44	0.58	0.52	5.94e-9	4.017e-6	(A) FLT3 mutation
WWTR1	3q25.1	0.08	0.38	0.11	0.51	-0.30	6.01e-9	4.017e-6	(B) FLT3 non mutation
NEK8	17q11.2	2.65	2.22	0.38	0.45	0.43	6.18e-9	4.017e-6	(A) FLT3 mutation
FBXO39	17p13.1	0.13	0.44	0.16	0.49	-0.30	6.74e-9	4.108e-6	(B) FLT3 non mutation
RAB3IL1	11q12.2-q12.3	0.52	1.25	0.57	0.95	-0.73	6.74e-9	4.108e-6	(B) FLT3 non mutation
TIGD6	5q32	1.34	1.08	0.24	0.25	0.26	7.10e-9	4.192e-6	(A) FLT3 mutation
LGMN	14q32.12	1.09	2.01	0.73	1.17	-0.91	7.31e-9	4.192e-6	(B) FLT3 non mutation
SPSB1	1p36.22	0.42	0.79	0.26	0.54	-0.37	1.01e-8	5.471e-6	(B) FLT3 non mutation
PABPC1L	20q13.12	4.46	3.74	0.66	0.72	0.72	1.01e-8	5.471e-6	(A) FLT3 mutation
PBX3	9q33.3	5.21	3.83	1.19	1.61	1.38	1.24e-8	6.380e-6	(A) FLT3 mutation
ANXA1	9q21.13	8.26	7.48	0.59	1.11	0.79	1.24e-8	6.380e-6	(A) FLT3 mutation
ADAMTS3	4q13.3	0.21	0.82	0.38	0.98	-0.61	1.40e-8	6.657e-6	(B) FLT3 non mutation
TMEM117	12q12	0.25	0.57	0.24	0.45	-0.32	1.43e-8	6.657e-6	(B) FLT3 non mutation
CYSLTR2	13q14.2	2.80	1.47	1.30	0.98	1.34	1.44e-8	6.657e-6	(A) FLT3 mutation
IFNL1	19q13.2	0.22	0.42	0.16	0.26	-0.20	1.45e-8	6.657e-6	(B) FLT3 non mutation
HSD17B7	1q23.3	2.07	1.78	0.26	0.31	0.29	1.47e-8	6.657e-6	(A) FLT3 mutation
TF	3q22.1	0.57	1.21	0.48	0.90	-0.63	1.62e-8	7.038e-6	(B) FLT3 non mutation
FAM83F	22q13.1	0.06	0.28	0.09	0.38	-0.21	1.62e-8	7.038e-6	(B) FLT3 non mutation
ADAMTS10	19p13.2	1.29	2.37	0.92	1.32	-1.08	1.68e-8	7.125e-6	(B) FLT3 non mutation
TAS1R3	1p36.33	0.64	0.97	0.27	0.44	-0.33	1.83e-8	7.577e-6	(B) FLT3 non mutation
ZNF18	17p12	2.90	2.61	0.26	0.33	0.29	2.18e-8	8.873e-6	(A) FLT3 mutation
FRZB	2q32.1	0.13	0.54	0.21	0.72	-0.42	2.47e-8	9.667e-6	(B) FLT3 non mutation
VCAM1	1p21.2	0.52	1.50	0.77	1.39	-0.98	2.48e-8	9.667e-6	(B) FLT3 non mutation
ABCG2	4q22.1	0.20	0.56	0.27	0.54	-0.36	2.70e-8	1.020e-5	(B) FLT3 non mutation
NEDD4L	18q21.31	0.54	1.12	0.45	0.83	-0.58	2.72e-8	1.020e-5	(B) FLT3 non mutation
POU2AF1	11q23.1	1.64	2.46	0.72	1.06	-0.82	3.83e-8	1.410e-5	(B) FLT3 non mutation
NIT2	3q12.2	5.18	4.70	0.46	0.47	0.48	4.00e-8	1.444e-5	(A) FLT3 mutation
KCNN3	1q21.3	0.17	0.42	0.14	0.43	-0.25	4.59e-8	1.627e-5	(B) FLT3 non mutation
DNAAF11	8q24.22	1.83	1.41	0.39	0.49	0.42	4.89e-8	1.702e-5	(A) FLT3 mutation
JSRP1	19p13.3	0.33	0.73	0.27	0.65	-0.40	4.99e-8	1.707e-5	(B) FLT3 non mutation
CXORF38	Xp11.4	3.39	3.05	0.31	0.41	0.34	5.32e-8	1.752e-5	(A) FLT3 mutation
CLEC4GP1	19p13.2	0.01	0.04	0.01	0.06	-0.03	5.35e-8	1.752e-5	(B) FLT3 non mutation
XPC	3p25.1	4.41	4.07	0.34	0.33	0.35	5.39e-8	1.752e-5	(A) FLT3 mutation
EFEMP1	2p16.1	0.07	0.40	0.15	0.61	-0.33	5.57e-8	1.781e-5	(B) FLT3 non mutation
