logFC	AveExpr	t	P.Value	adj.P.Val	B	C_AVG	T_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10	probeID
-0.232795367592821	0.614660119227209	-8.12507080657061	8.41921841881559E-14	2.01795524100035E-08	20.0181630264346	0.679250741449494	0.446455373856673	-0.232795367592821	6	30131458	F	II	TRIM15	5'UTR	opensea	5'UTR-opensea		NA	TRUE		rs35278640		cg12232118
-0.237203329077617	0.834011504111623	-8.09179069548891	1.02628071332687E-13	2.01795524100035E-08	19.8221456318372	0.899825144549344	0.662621815471726	-0.237203329077617	19	13136168	F	II	NFIX	Body	island	Body-island	chr19:13135317-13136169	NA	NA				cg26767614
-0.223827477834169	0.761805068552797	-7.97339435001589	2.07006699640742E-13	2.71355422246399E-08	19.12774460353	0.823907490148404	0.600080012314236	-0.223827477834169	X	152608863	F	II	ZNF275	Body	shelf	Body-shelf	chrX:152612775-152613464	NA	NA				cg15317375
-0.235146660714897	0.678711037303587	-7.88212452621958	3.5445719108898E-13	3.4848104284722E-08	18.5956536131579	0.743954041432576	0.508807380717678	-0.235146660714898	2	86121000	F	II		IGR	opensea	IGR-opensea		TRUE	TRUE				cg04849850
-0.260845766744359	0.760776055760314	-7.74948492534257	7.7072049070451E-13	6.06180914584985E-08	17.8275292071615	0.833149447689385	0.572303680945025	-0.260845766744359	3	119276917	F	II	CD80	5'UTR	opensea	5'UTR-opensea		NA	NA				cg13458803
-0.186820289871482	0.813527096303835	-7.67286829709072	1.20385360570038E-12	7.78872839156343E-08	17.3866938504935	0.865361627597657	0.678541337726175	-0.186820289871482	6	30131467	F	II	TRIM15	1stExon	opensea	1stExon-opensea		NA	TRUE		rs35278640		cg27583815
-0.261398476082883	0.736258185128947	-7.64853960919424	1.3864022097805E-12	7.78872839156343E-08	17.2471588061483	0.808784929938071	0.547386453855188	-0.261398476082883	4	20044588	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg16924102
-0.17141708260856	0.764733135442716	-7.5860698126621	1.99030284998302E-12	9.78373171966152E-08	16.8898701156941	0.812293944490178	0.640876861881618	-0.17141708260856	5	134644263	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg18765405
-0.157953580111251	0.673102782063564	-7.4120245359429	5.41015291271016E-12	2.36397232648972E-07	15.9022184097301	0.716928052845877	0.558974472734625	-0.157953580111251	11	2035255	F	II		IGR	shore	IGR-shore	chr11:2033707-2033991	NA	NA				cg21926276
-0.312890596012123	0.688818799670012	-7.35685961467098	7.41055615103076E-12	2.82161520240422E-07	15.5916263956868	0.775632375442162	0.462741779430038	-0.312890596012124	13	27769437	R	II		IGR	opensea	IGR-opensea		TRUE	TRUE		rs74042535		cg19291696
-0.127097543785601	0.82259611083919	-7.34578792383095	7.89250951706938E-12	2.82161520240422E-07	15.5294352106934	0.857860169230571	0.73076262544497	-0.127097543785602	12	57581972	R	II	LRP1	Body	shelf	Body-shelf	chr12:57579320-57579625	NA	NA				cg04688889
-0.220953186725309	0.786900757931275	-7.30010576720275	1.02307545122712E-11	3.32973981081312E-07	15.2733504146753	0.84820568835217	0.627252501626861	-0.220953186725309	19	13108217	R	II	NFIX	Body	shore	Body-shore	chr19:13106817-13107688	NA	NA				cg22630169
-0.162520722202987	0.739423398230896	-7.28720152802783	1.10072363906897E-11	3.32973981081312E-07	15.2011638585472	0.784515852946176	0.621995130743188	-0.162520722202988	17	79442206	R	II		IGR	opensea	IGR-opensea		NA	NA				cg08301779
-0.13408071255048	0.862966693592823	-7.25480749855729	1.32224184054518E-11	3.71413955175312E-07	15.0202482752567	0.900168278577927	0.766087566027447	-0.13408071255048	19	13132221	F	II	NFIX	Body	shelf	Body-shelf	chr19:13135317-13136169	NA	TRUE		rs8110484		cg15783941
-0.146308524991197	0.768770008084262	-7.22943587905588	1.52601077494564E-11	3.8910746395379E-07	14.8788503859454	0.809364280914189	0.663055755922992	-0.146308524991198	13	31685197	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg19769036
-0.193645447885705	0.756148110104791	-7.2206601942914	1.6034763299804E-11	3.8910746395379E-07	14.8300042550678	0.809876326859206	0.616230878973502	-0.193645447885705	19	13125851	F	II	NFIX	Body	shore	Body-shore	chr19:13120986-13124368	NA	TRUE		rs78236501		cg27392771
-0.279095449605978	0.650787908257704	-7.20511574455743	1.75034000448635E-11	3.8910746395379E-07	14.7435604451115	0.728224796009652	0.449129346403674	-0.279095449605978	22	28501558	R	II	TTC28	Body	opensea	Body-opensea		NA	NA	low-CpG:26831540-26831563			cg05838101
-0.376704073783583	0.641480925548039	-7.20203250426754	1.78101144068195E-11	3.8910746395379E-07	14.7264261668227	0.745999974921519	0.369295901137936	-0.376704073783583	16	3641320	F	I	BTBD12	Body	shelf	Body-shelf	chr16:3639092-3639306	NA	NA			rs73505419	cg07651316
-0.310523911236603	0.769071577525915	-7.18287454326301	1.98384364423544E-11	4.10609692714448E-07	14.6200491006852	0.855228500874799	0.544704589638196	-0.310523911236603	10	384652	F	I	DIP2C	Body	shelf	Body-shelf	chr10:387294-387544	TRUE	NA				cg14072016
-0.12450907904204	0.818876530511891	-7.14962493826811	2.39140238701486E-11	4.70216668553958E-07	14.4357884959256	0.853422402153613	0.728913323111572	-0.124509079042041	12	57595392	R	II	LRP1	Body	shore	Body-shore	chr12:57596968-57597309	NA	NA	low-CpG:55881609-55881875			cg06715885
-0.230552908447351	0.767445444324544	-7.13392689770535	2.61154397948416E-11	4.89050161521915E-07	14.3489546578071	0.831413881350398	0.600860972903047	-0.230552908447351	14	104733813	F	II		IGR	opensea	IGR-opensea		NA	NA		rs57469584		cg15443378
-0.248268905430511	0.758495658238942	-7.06132236952672	3.91943989994981E-11	6.96329118406023E-07	13.9486955323027	0.827379516393072	0.579110610962562	-0.248268905430511	1	2983926	R	II	FLJ42875	Body	island	Body-island	chr1:2983925-2987962	NA	NA				cg03256938
-0.171161949424529	0.752663800856051	-7.05444969693272	4.07255572027853E-11	6.96329118406023E-07	13.9109236098294	0.800153821505632	0.628991872081103	-0.171161949424529	9	138951648	R	II	NACC2	5'UTR	opensea	5'UTR-opensea		NA	TRUE				cg13781414
-0.234001880133957	0.629513781028648	-7.02251402905388	4.86512017114218E-11	7.97182374176121E-07	13.7356725856308	0.694439158175642	0.460437278041685	-0.234001880133957	7	148611823	F	II		IGR	opensea	IGR-opensea		NA	TRUE		rs7798095		cg07632771
-0.343670181625188	0.657485349920806	-7.00594589760988	5.33441836671454E-11	8.39116811688277E-07	13.6449261665619	0.752838926325482	0.409168744700294	-0.343670181625188	17	46660940	F	II		IGR	shore	IGR-shore	chr17:46658948-46660003	NA	NA				cg00411072
-0.179279217016397	0.855106368408422	-6.96555821544654	6.67378630767396E-11	1.00942558008101E-06	13.4242157316314	0.904848578910082	0.725569361893684	-0.179279217016397	6	25875671	F	II	SLC17A3	TSS1500	opensea	TSS1500-opensea		NA	NA				cg06361793
-0.266605780935564	0.642631717171324	-6.95131766523428	7.22112233433161E-11	1.05175914248515E-06	13.346563971966	0.716603263326857	0.449997482391292	-0.266605780935564	5	128320387	F	II	SLC27A6	Body	opensea	Body-opensea		NA	TRUE				cg11841562
-0.21926904415965	0.838856821171165	-6.92920167214127	8.16010656735273E-11	1.1460753100896E-06	13.2261452336016	0.89969447504205	0.6804254308824	-0.21926904415965	19	13127389	R	II	NFIX	Body	shelf	Body-shelf	chr19:13120986-13124368	NA	NA				cg01634146
-0.190487228400022	0.630147407573091	-6.889886435084	1.01357305228297E-10	1.37446098016755E-06	13.0126128730278	0.682999355337259	0.492512126937237	-0.190487228400021	4	3741571	F	II		IGR	shore	IGR-shore	chr4:3742092-3742358	NA	NA		rs75594020		cg05422920
-0.292755792435036	0.712566701136308	-6.87509667340776	1.09951945053713E-10	1.44130873680143E-06	12.9324634377008	0.793793741811924	0.501037949376889	-0.292755792435036	1	9006680	R	II	CA6	Body	opensea	Body-opensea		NA	NA				cg25919221
-0.231129335556203	0.800649501970439	-6.85457187886874	1.23080945013189E-10	1.52381216250527E-06	12.8213966170213	0.864777872529385	0.633648536973182	-0.231129335556203	8	121048603	R	II	DEPDC6	Body	opensea	Body-opensea		NA	TRUE				cg00317837
-0.280959462600862	0.647037661972946	-6.85322362816563	1.23995537767176E-10	1.52381216250527E-06	12.8141073806426	0.724991732521163	0.4440322699203	-0.280959462600862	7	12796513	F	II		IGR	opensea	IGR-opensea		NA	TRUE				cg27380915
-0.211680765600668	0.7289563583037	-6.82468826932221	1.45002829602919E-10	1.72797675025228E-06	12.6600248128097	0.787688593846082	0.576007828245413	-0.211680765600668	11	125999805	F	II		IGR	opensea	IGR-opensea		NA	TRUE				cg15215830
-0.176047192913809	0.714856130399353	-6.80451292769358	1.61935479532552E-10	1.87300290997215E-06	12.551306184598	0.763701594329196	0.587654401415387	-0.176047192913809	22	36854045	R	II		IGR	shelf	IGR-shelf	chr22:36850893-36851466	TRUE	NA				cg16549994
-0.162363755929079	0.826259675119478	-6.79048466736752	1.74843039421791E-10	1.9645164088816E-06	12.4758213291466	0.871308578498644	0.708944822569565	-0.162363755929079	19	13127729	R	II	NFIX	Body	shelf	Body-shelf	chr19:13120986-13124368	NA	NA				cg10767662
-0.219201969454627	0.579909202959565	-6.77194486732923	1.93468098271006E-10	2.08958409261374E-06	12.3761980846255	0.64072824650767	0.421526277053042	-0.219201969454627	6	155538047	F	II	TIAM2	Body	shore	Body-shore	chr6:155539975-155540193	NA	TRUE				cg25383605
-0.244408543081029	0.749344480242863	-6.76899998289804	1.96601225224049E-10	2.08958409261374E-06	12.3603882880169	0.817157255201762	0.572748712120732	-0.24440854308103	7	40680454	F	II	C7orf10	Body	opensea	Body-opensea		NA	TRUE				cg02426324
-0.194601131015951	0.710673104306245	-6.74610135712417	2.22730865905953E-10	2.30500656322925E-06	12.237591491566	0.764666481697954	0.570065350682002	-0.194601131015952	17	71304784	F	II	CDC42EP4	5'UTR	shelf	5'UTR-shelf	chr17:71306975-71308682	NA	NA				cg17379666
-0.0735870551457611	0.913528057765685	-6.73194745506858	2.40562924655399E-10	2.42571316662266E-06	12.1618102072099	0.933945275378382	0.86035822023262	-0.0735870551457615	10	131647800	F	II	EBF3	Body	opensea	Body-opensea		NA	NA				cg12509733
-0.250174413180778	0.583864364596444	-6.69861207595921	2.88307116816831E-10	2.80538110595499E-06	11.9836962280671	0.653276918542556	0.403102505361778	-0.250174413180778	17	53809564	F	II	TMEM100	TSS200	opensea	TSS200-opensea		NA	TRUE				cg25683268
-0.249995101788201	0.594040366902246	-6.69596050554199	2.92482823769134E-10	2.80538110595499E-06	11.9695508325914	0.663403169710533	0.413408067922332	-0.249995101788201	15	40348303	F	II		IGR	opensea	IGR-opensea		NA	NA				cg14482712
-0.167674309042648	0.8102406085324	-6.654478562644	3.66119372096853E-10	3.42806285222191E-06	11.7486843510001	0.856762960174291	0.689088651131643	-0.167674309042648	8	145509581	R	II	BOP1	Body	shore	Body-shore	chr8:145510080-145510360	NA	NA				cg24605064
-0.170643035858823	0.706495288485947	-6.60381802362899	4.8113919176852E-10	4.40025288367724E-06	11.4800471308576	0.753841333117297	0.583198297258473	-0.170643035858823	10	75666847	F	II		IGR	shelf	IGR-shelf	chr10:75670696-75671379	TRUE	TRUE				cg19399285
