logFC,AveExpr,t,P.Value,adj.P.Val,B,C_AVG,T_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,probeID
-0.376704073783583,0.614660119227209,-8.125070807,8.41921841881559E-14,2.01795524100035E-08,20.01816303,0.679250741449494,0.446455373856673,-0.232795367592821,6,30131458,F,II,TRIM15,5'UTR,opensea,5'UTR-opensea,,NA,TRUE,,rs35278640,,cg12232118
-0.343670181625188,0.834011504111623,-8.091790695,1.02628071332687E-13,2.01795524100035E-08,19.82214563,0.899825144549344,0.662621815471726,-0.237203329077617,19,13136168,F,II,NFIX,Body,island,Body-island,chr19:13135317-13136169,NA,NA,,,,cg26767614
-0.340089062246995,0.761805068552797,-7.97339435,2.07006699640742E-13,2.71355422246399E-08,19.1277446,0.823907490148404,0.600080012314236,-0.223827477834169,X,152608863,F,II,ZNF275,Body,shelf,Body-shelf,chrX:152612775-152613464,NA,NA,,,,cg15317375
-0.333705507329717,0.678711037303587,-7.882124526,3.5445719108898E-13,3.4848104284722E-08,18.59565361,0.743954041432576,0.508807380717678,-0.235146660714898,2,86121000,F,II,,IGR,opensea,IGR-opensea,,TRUE,TRUE,,,,cg04849850
-0.329544314708775,0.760776055760314,-7.749484925,7.7072049070451E-13,6.06180914584985E-08,17.82752921,0.833149447689385,0.572303680945025,-0.260845766744359,3,119276917,F,II,CD80,5'UTR,opensea,5'UTR-opensea,,NA,NA,,,,cg13458803
-0.329244552629808,0.813527096303835,-7.672868297,1.20385360570038E-12,7.78872839156343E-08,17.38669385,0.865361627597657,0.678541337726175,-0.186820289871482,6,30131467,F,II,TRIM15,1stExon,opensea,1stExon-opensea,,NA,TRUE,,rs35278640,,cg27583815
-0.324267857282601,0.736258185128947,-7.648539609,1.3864022097805E-12,7.78872839156343E-08,17.24715881,0.808784929938071,0.547386453855188,-0.261398476082883,4,20044588,R,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,,,cg16924102
-0.320789329650677,0.764733135442716,-7.586069813,1.99030284998302E-12,9.78373171966152E-08,16.88987012,0.812293944490178,0.640876861881618,-0.17141708260856,5,134644263,R,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,,,cg18765405
-0.319818286102654,0.673102782063564,-7.412024536,5.41015291271016E-12,2.36397232648972E-07,15.90221841,0.716928052845877,0.558974472734625,-0.157953580111251,11,2035255,F,II,,IGR,shore,IGR-shore,chr11:2033707-2033991,NA,NA,,,,cg21926276
-0.316267590949492,0.688818799670012,-7.356859615,7.41055615103076E-12,2.82161520240422E-07,15.5916264,0.775632375442162,0.462741779430038,-0.312890596012124,13,27769437,R,II,,IGR,opensea,IGR-opensea,,TRUE,TRUE,,rs74042535,,cg19291696
-0.315583165987923,0.82259611083919,-7.345787924,7.89250951706938E-12,2.82161520240422E-07,15.52943521,0.857860169230571,0.73076262544497,-0.127097543785602,12,57581972,R,II,LRP1,Body,shelf,Body-shelf,chr12:57579320-57579625,NA,NA,,,,cg04688889
-0.313443893156432,0.786900757931275,-7.300105767,1.02307545122712E-11,3.32973981081312E-07,15.27335041,0.84820568835217,0.627252501626861,-0.220953186725309,19,13108217,R,II,NFIX,Body,shore,Body-shore,chr19:13106817-13107688,NA,NA,,,,cg22630169
-0.313390153235014,0.739423398230896,-7.287201528,1.10072363906897E-11,3.32973981081312E-07,15.20116386,0.784515852946176,0.621995130743188,-0.162520722202988,17,79442206,R,II,,IGR,opensea,IGR-opensea,,NA,NA,,,,cg08301779
-0.312890596012123,0.862966693592823,-7.254807499,1.32224184054518E-11,3.71413955175312E-07,15.02024828,0.900168278577927,0.766087566027447,-0.13408071255048,19,13132221,F,II,NFIX,Body,shelf,Body-shelf,chr19:13135317-13136169,NA,TRUE,,rs8110484,,cg15783941
-0.312639985998198,0.768770008084262,-7.229435879,1.52601077494564E-11,3.8910746395379E-07,14.87885039,0.809364280914189,0.663055755922992,-0.146308524991198,13,31685197,R,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,,,cg19769036
-0.310523911236603,0.756148110104791,-7.220660194,1.6034763299804E-11,3.8910746395379E-07,14.83000426,0.809876326859206,0.616230878973502,-0.193645447885705,19,13125851,F,II,NFIX,Body,shore,Body-shore,chr19:13120986-13124368,NA,TRUE,,rs78236501,,cg27392771
-0.309706234554628,0.650787908257704,-7.205115745,1.75034000448635E-11,3.8910746395379E-07,14.74356045,0.728224796009652,0.449129346403674,-0.279095449605978,22,28501558,R,II,TTC28,Body,opensea,Body-opensea,,NA,NA,low-CpG:26831540-26831563,,,cg05838101
-0.309498868292061,0.641480925548039,-7.202032504,1.78101144068195E-11,3.8910746395379E-07,14.72642617,0.745999974921519,0.369295901137936,-0.376704073783583,16,3641320,F,I,BTBD12,Body,shelf,Body-shelf,chr16:3639092-3639306,NA,NA,,,rs73505419,cg07651316
-0.309358719099889,0.769071577525915,-7.182874543,1.98384364423544E-11,4.10609692714448E-07,14.6200491,0.855228500874799,0.544704589638196,-0.310523911236603,10,384652,F,I,DIP2C,Body,shelf,Body-shelf,chr10:387294-387544,TRUE,NA,,,,cg14072016
-0.308375377730889,0.818876530511891,-7.149624938,2.39140238701486E-11,4.70216668553958E-07,14.4357885,0.853422402153613,0.728913323111572,-0.124509079042041,12,57595392,R,II,LRP1,Body,shore,Body-shore,chr12:57596968-57597309,NA,NA,low-CpG:55881609-55881875,,,cg06715885
-0.307040413252003,0.767445444324544,-7.133926898,2.61154397948416E-11,4.89050161521915E-07,14.34895466,0.831413881350398,0.600860972903047,-0.230552908447351,14,104733813,F,II,,IGR,opensea,IGR-opensea,,NA,NA,,rs57469584,,cg15443378
-0.303910622925019,0.758495658238942,-7.06132237,3.91943989994981E-11,6.96329118406023E-07,13.94869553,0.827379516393072,0.579110610962562,-0.248268905430511,1,2983926,R,II,FLJ42875,Body,island,Body-island,chr1:2983925-2987962,NA,NA,,,,cg03256938
-0.303137043621839,0.752663800856051,-7.054449697,4.07255572027853E-11,6.96329118406023E-07,13.91092361,0.800153821505632,0.628991872081103,-0.171161949424529,9,138951648,R,II,NACC2,5'UTR,opensea,5'UTR-opensea,,NA,TRUE,,,,cg13781414
-0.302217723219477,0.629513781028648,-7.022514029,4.86512017114218E-11,7.97182374176121E-07,13.73567259,0.694439158175642,0.460437278041685,-0.234001880133957,7,148611823,F,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,rs7798095,,cg07632771
-0.301434456660139,0.657485349920806,-7.005945898,5.33441836671454E-11,8.39116811688277E-07,13.64492617,0.752838926325482,0.409168744700294,-0.343670181625188,17,46660940,F,II,,IGR,shore,IGR-shore,chr17:46658948-46660003,NA,NA,,,,cg00411072
-0.30132263484359,0.855106368408422,-6.965558215,6.67378630767396E-11,1.00942558008101E-06,13.42421573,0.904848578910082,0.725569361893684,-0.179279217016397,6,25875671,F,II,SLC17A3,TSS1500,opensea,TSS1500-opensea,,NA,NA,,,,cg06361793
-0.300701071172899,0.642631717171324,-6.951317665,7.22112233433161E-11,1.05175914248515E-06,13.34656397,0.716603263326857,0.449997482391292,-0.266605780935564,5,128320387,F,II,SLC27A6,Body,opensea,Body-opensea,,NA,TRUE,,,,cg11841562
-0.298877936824579,0.838856821171165,-6.929201672,8.16010656735273E-11,1.1460753100896E-06,13.22614523,0.89969447504205,0.6804254308824,-0.21926904415965,19,13127389,R,II,NFIX,Body,shelf,Body-shelf,chr19:13120986-13124368,NA,NA,,,,cg01634146
-0.298822206827198,0.630147407573091,-6.889886435,1.01357305228297E-10,1.37446098016755E-06,13.01261287,0.682999355337259,0.492512126937237,-0.190487228400021,4,3741571,F,II,,IGR,shore,IGR-shore,chr4:3742092-3742358,NA,NA,,rs75594020,,cg05422920
-0.29693952540984,0.712566701136308,-6.875096673,1.09951945053713E-10,1.44130873680143E-06,12.93246344,0.793793741811924,0.501037949376889,-0.292755792435036,1,9006680,R,II,CA6,Body,opensea,Body-opensea,,NA,NA,,,,cg25919221
-0.296938546688075,0.800649501970439,-6.854571879,1.23080945013189E-10,1.52381216250527E-06,12.82139662,0.864777872529385,0.633648536973182,-0.231129335556203,8,121048603,R,II,DEPDC6,Body,opensea,Body-opensea,,NA,TRUE,,,,cg00317837
-0.295978256817554,0.647037661972946,-6.853223628,1.23995537767176E-10,1.52381216250527E-06,12.81410738,0.724991732521163,0.4440322699203,-0.280959462600862,7,12796513,F,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,,,cg27380915
-0.292755792435036,0.7289563583037,-6.824688269,1.45002829602919E-10,1.72797675025228E-06,12.66002481,0.787688593846082,0.576007828245413,-0.211680765600668,11,125999805,F,II,,IGR,opensea,IGR-opensea,,NA,TRUE,,,,cg15215830
-0.292367524582354,0.714856130399353,-6.804512928,1.61935479532552E-10,1.87300290997215E-06,12.55130618,0.763701594329196,0.587654401415387,-0.176047192913809,22,36854045,R,II,,IGR,shelf,IGR-shelf,chr22:36850893-36851466,TRUE,NA,,,,cg16549994
-0.291742476864497,0.826259675119478,-6.790484667,1.74843039421791E-10,1.9645164088816E-06,12.47582133,0.871308578498644,0.708944822569565,-0.162363755929079,19,13127729,R,II,NFIX,Body,shelf,Body-shelf,chr19:13120986-13124368,NA,NA,,,,cg10767662
-0.290287804494539,0.579909202959565,-6.771944867,1.93468098271006E-10,2.08958409261374E-06,12.37619808,0.64072824650767,0.421526277053042,-0.219201969454627,6,155538047,F,II,TIAM2,Body,shore,Body-shore,chr6:155539975-155540193,NA,TRUE,,,,cg25383605
-0.288292495281243,0.749344480242863,-6.768999983,1.96601225224049E-10,2.08958409261374E-06,12.36038829,0.817157255201762,0.572748712120732,-0.24440854308103,7,40680454,F,II,C7orf10,Body,opensea,Body-opensea,,NA,TRUE,,,,cg02426324
